,행정구역,관광명소,도,시/군/구,면적,관광명소/면적
72,전라남도 고흥군,18.0,전라남도,고흥군,807372281.5,2.2294547896242087e-08
73,충청북도 청주시 상당구,9.0,충청북도,청주시 상당구,404362103.0,2.2257278645125652e-08
74,전라북도 순창군,11.0,전라북도,순창군,495794066.8,2.2186630975633126e-08
75,강원도 원주시,19.0,강원도,원주시,868240237.8000001,2.188334423217168e-08
76,충청남도 서산시,16.0,충청남도,서산시,742026667.8,2.1562567350089517e-08
77,대구광역시 북구,2.0,대구광역시,북구,93983907.6,2.1280238831014514e-08
78,울산광역시 울주군,16.0,울산광역시,울주군,758130009.6999999,2.1104559633949022e-08
79,경상남도 창원시 마산합포구,5.0,경상남도,창원시 마산합포구,241157829.3,2.0733309859826308e-08
80,충청북도 충주시,20.0,충청북도,충주시,983477554.9,2.033600045100531e-08
81,전라남도 구례군,9.0,전라남도,구례군,443243406.5999999,2.030487056544521e-08
82,충청남도 예산군,11.0,충청남도,예산군,542648184.5,2.0270960659594724e-08
83,충청북도 청주시 흥덕구,4.0,충청북도,청주시 흥덕구,198804526.7,2.0120266205185962e-08
84,전라남도 강진군,10.0,전라남도,강진군,500909508.0,1.996368573622683e-08
85,강원도 영월군,22.0,강원도,영월군,1127289701.3000002,1.9515835170523966e-08
86,경상남도 하동군,13.0,경상남도,하동군,675236981.9000001,1.9252500008841707e-08
87,경상북도 울진군,19.0,경상북도,울진군,990043223.7000002,1.9191081303494e-08
88,전라남도 영광군,9.0,전라남도,영광군,474963093.3,1.8948840714062276e-08
89,충청북도 청주시 청원구,4.0,충청북도,청주시 청원구,215043254.29999995,1.860090898001259e-08
90,강원도 양구군,12.0,강원도,양구군,661819105.5999999,1.813184282300357e-08
91,강원도 철원군,16.0,강원도,철원군,889682310.5000001,1.7983947540789052e-08
92,광주광역시 광산구,4.0,광주광역시,광산구,222777065.2,1.7955169650919705e-08
93,전라남도 화순군,14.0,전라남도,화순군,787011712.4999999,1.778880768562895e-08
94,경상남도 고성군,9.0,경상남도,고성군,517957150.6,1.7375954728251993e-08
95,충청북도 진천군,7.0,충청북도,진천군,407303348.2,1.718620784959214e-08
96,충청북도 제천시,15.0,충청북도,제천시,883422112.4999999,1.6979425563110977e-08
97,경상남도 진주시,12.0,경상남도,진주시,712860197.6,1.683359519917177e-08
98,전라남도 보성군,11.0,전라남도,보성군,664012341.5,1.6565957155481573e-08
99,충청남도 계룡시,1.0,충청남도,계룡시,60698854.79999999,1.6474775402187656e-08
100,경상남도 밀양시,13.0,경상남도,밀양시,798671223.6999998,1.6277035674047414e-08
101,충청남도 공주시,14.0,충청남도,공주시,864152740.3000003,1.6200839674638703e-08
102,전라북도 정읍시,11.0,전라북도,정읍시,693039120.7,1.587211987238111e-08
103,강원도 평창군,23.0,강원도,평창군,1463928054.3000002,1.5711154610666852e-08
104,경상북도 고령군,6.0,경상북도,고령군,384059801.6,1.562256704555877e-08
105,전라남도 무안군,7.0,전라남도,무안군,449711043.9,1.5565550579532922e-08
106,강원도 삼척시,18.0,강원도,삼척시,1187839038.0000005,1.515356830695439e-08
107,전라남도 광양시,7.0,전라남도,광양시,463087470.5,1.5115934776732422e-08
108,전라북도 남원시,11.0,전라북도,남원시,752191723.9999999,1.4623931172101013e-08
109,경상북도 안동시,22.0,경상북도,안동시,1522098729.1,1.4453727330163633e-08
110,경상남도 양산시,7.0,경상남도,양산시,485604353.6999999,1.44150272679073e-08
111,충청남도 부여군,9.0,충청남도,부여군,624534629.9,1.4410730116664745e-08
112,강원도 화천군,13.0,강원도,화천군,908931855.5,1.4302502350793667e-08
113,경상남도 거창군,11.0,경상남도,거창군,803312949.2,1.3693293517743782e-08
114,충청북도 음성군,7.0,충청북도,음성군,520182165.6999999,1.3456824284969908e-08
115,경상남도 합천군,13.0,경상남도,합천군,983507159.2999998,1.3218002408088828e-08
116,경상남도 창녕군,7.0,경상남도,창녕군,532830707.4,1.3137380978204487e-08
117,강원도 횡성군,13.0,강원도,횡성군,998066555.9,1.3025183464120121e-08
118,충청북도 단양군,10.0,충청북도,단양군,780158659.6,1.2817905533634867e-08
119,전라남도 곡성군,7.0,전라남도,곡성군,547467005.3,1.2786158676656967e-08
120,울산광역시 북구,2.0,울산광역시,북구,157357088.2,1.2709945404289707e-08
121,경상남도 산청군,10.0,경상남도,산청군,794604514.8999997,1.2584876894713454e-08
122,전라북도 완주군,10.0,전라북도,완주군,821055308.9000001,1.2179447464260831e-08
123,경상북도 영주시,8.0,경상북도,영주시,670089067.6,1.1938711414368998e-08
124,전라북도 임실군,7.0,전라북도,임실군,597222768.0,1.1720919521273175e-08
125,전라북도 진안군,9.0,전라북도,진안군,789091739.3000001,1.1405517954077002e-08
126,경상북도 성주군,7.0,경상북도,성주군,616106444.6000001,1.1361673070218682e-08
127,전라북도 장수군,6.0,전라북도,장수군,533202165.5,1.1252767502122982e-08
128,충청남도 홍성군,5.0,충청남도,홍성군,446698483.00000006,1.1193232550109196e-08
129,전라북도 무주군,7.0,전라북도,무주군,631755525.3000001,1.1080235501978283e-08
130,부산광역시 강서구,2.0,부산광역시,강서구,181494645.1,1.101960886448214e-08
131,경상북도 영천시,10.0,경상북도,영천시,919205139.4,1.0878964413240094e-08
132,전라남도 해남군,11.0,전라남도,해남군,1031306018.0,1.06660872796342e-08
133,충청남도 청양군,5.0,충청남도,청양군,479099965.1,1.043623536678066e-08
134,전라남도 함평군,4.0,전라남도,함평군,392103012.2999999,1.0201400842438774e-08
135,충청남도 천안시 서북구,2.0,충청남도,천안시 서북구,197695942.9,1.0116545492345558e-08
136,전라남도 영암군,6.0,전라남도,영암군,612561438.0000001,9.794935867314584e-09
137,경상남도 함안군,4.0,경상남도,함안군,416602010.8,9.601489902362228e-09
138,경상북도 포항시 북구,7.0,경상북도,포항시 북구,736172079.8000001,9.508646404929848e-09
139,전라북도 김제시,5.0,전라북도,김제시,545864267.6,9.159786226681381e-09
140,강원도 정선군,11.0,강원도,정선군,1219777975.3000002,9.018034611827278e-09
141,경상북도 칠곡군,4.0,경상북도,칠곡군,450937033.5,8.870418046957768e-09
142,충청남도 금산군,5.0,충청남도,금산군,577237129.3000001,8.661951468824199e-09
143,충청남도 당진시,6.0,충청남도,당진시,705424109.2,8.50552160288995e-09
144,충청북도 괴산군,7.0,충청북도,괴산군,842189019.7999994,8.31167331255677e-09
145,경상북도 청송군,7.0,경상북도,청송군,846120638.8,8.273051949102272e-09
146,경상남도 함양군,6.0,경상남도,함양군,725485213.5,8.270327069870736e-09
147,전라남도 나주시,5.0,전라남도,나주시,608403003.0000001,8.21823688467231e-09
148,충청북도 청주시 서원구,1.0,충청북도,청주시 서원구,122634639.59999998,8.154302921765998e-09
149,경상북도 구미시,5.0,경상북도,구미시,615346702.3,8.125500602036786e-09
150,전라남도 장성군,4.0,전라남도,장성군,518401901.1,7.716021086173442e-09
151,경상북도 문경시,7.0,경상북도,문경시,911902545.3999996,7.676258867036608e-09
152,경상북도 예천군,5.0,경상북도,예천군,661483887.3,7.558763102165134e-09
153,충청북도 옥천군,4.0,충청북도,옥천군,537221175.0999999,7.445722889190711e-09
154,강원도 인제군,12.0,강원도,인제군,1644967141.0,7.294978544498476e-09
155,경상북도 경산시,3.0,경상북도,경산시,411756866.9,7.285852990348757e-09
156,경상북도 청도군,5.0,경상북도,청도군,693810304.1999999,7.206580775368082e-09
157,충청남도 논산시,4.0,충청남도,논산시,555580413.2,7.199677859341784e-09
158,충청북도 보은군,4.0,충청북도,보은군,584207530.3999999,6.8468819586444705e-09
159,전라남도 진도군,3.0,전라남도,진도군,440100025.3,6.816632191636459e-09
160,전라남도 순천시,6.0,전라남도,순천시,911055037.8000002,6.5857711675561285e-09
161,경상남도 의령군,3.0,경상남도,의령군,482910829.9,6.2123270265469775e-09
162,강원도 홍천군,11.0,강원도,홍천군,1820310462.4999995,6.042925218862221e-09
163,경상북도 의성군,7.0,경상북도,의성군,1174734215.5,5.958794685332804e-09
164,경상북도 상주시,7.0,경상북도,상주시,1254640828.9,5.579285990666519e-09
165,충청북도 영동군,4.0,충청북도,영동군,846016197.8,4.7280418630301555e-09
166,경상북도 봉화군,5.0,경상북도,봉화군,1202034344.8000002,4.159614924174169e-09
167,경상북도 김천시,4.0,경상북도,김천시,1009801474.4,3.96117464809279e-09
168,경상북도 영양군,3.0,경상북도,영양군,815749346.4,3.677600249683755e-09
169,경상북도 군위군,2.0,경상북도,군위군,614324742.1999999,3.2556071123517905e-09
170,경상남도 창원시 마산회원구,0.0,경상남도,창원시 마산회원구,90585435.3,0.0
171,부산광역시 연제구,0.0,부산광역시,연제구,12098902.6,0.0
172,세종특별자치시 세종특별자치시,0.0,세종특별자치시,세종특별자치시,464949680.2000001,0.0
