,도,시/군/구,면적
182,경상남도,거제시,403228579.5000002
183,경상남도,거창군,803312949.2
184,경상남도,고성군,517957150.6
185,경상남도,김해시,463447826.49999994
186,경상남도,남해군,357545658.90000004
187,경상남도,밀양시,798671223.6999998
188,경상남도,사천시,398675093.4
189,경상남도,산청군,794604514.8999997
190,경상남도,양산시,485604353.6999999
191,경상남도,의령군,482910829.90000004
192,경상남도,진주시,712860197.6
193,경상남도,창녕군,532830707.40000004
194,경상남도,창원시 마산합포구,241157829.29999998
195,경상남도,창원시 마산회원구,90585435.30000001
196,경상남도,창원시 성산구,82595050.9
197,경상남도,창원시 의창구,210774094.50000003
198,경상남도,창원시 진해구,122920231.30000001
199,경상남도,통영시,239860467.70000002
200,경상남도,하동군,675236981.9000001
201,경상남도,함안군,416602010.79999995
202,경상남도,함양군,725485213.5
203,경상남도,합천군,983507159.2999998
205,경기도,가평군,843690574.6999999
206,경기도,고양시 덕양구,165574887.10000002
207,경기도,고양시 일산동구,59952693.10000001
208,경기도,고양시 일산서구,42560750.20000001
209,경기도,과천시,35868319.20000001
210,경기도,광명시,38526427.7
211,경기도,광주시,430990347.1
212,경기도,구리시,33325063.799999993
213,경기도,군포시,36416853.9
214,경기도,김포시,276612088.4
215,경기도,남양주시,458115470.29999995
216,경기도,동두천시,95664307.5
217,경기도,부천시,53446245.699999996
218,경기도,성남시 분당구,69765851.9
219,경기도,성남시 수정구,45455655.7
220,경기도,성남시 중원구,26411562.19999999
221,경기도,수원시 권선구,47170329.699999996
222,경기도,수원시 영통구,27723420.5
223,경기도,수원시 장안구,33342316.9
224,경기도,수원시 팔달구,12856109.299999999
225,경기도,시흥시,138660045.60000002
226,경기도,안산시 단원구,97741095.29999998
227,경기도,안산시 상록구,57989859.7
228,경기도,안성시,553418704.0
229,경기도,안양시 동안구,21932930.900000002
230,경기도,안양시 만안구,36534381.49999999
231,경기도,양주시,310390297.4
232,경기도,양평군,877651359.4999999
233,경기도,여주시,608298372.3
234,경기도,연천군,676318065.6
235,경기도,오산시,42707724.400000006
236,경기도,용인시 기흥구,81643654.39999999
237,경기도,용인시 수지구,42097662.0
238,경기도,용인시 처인구,467517929.79999995
239,경기도,의왕시,53987611.300000004
240,경기도,의정부시,81544832.3
241,경기도,이천시,461421890.5999999
242,경기도,파주시,673229198.8
243,경기도,평택시,458244177.9
244,경기도,포천시,826957493.1
245,경기도,하남시,92991186.2
246,경기도,화성시,697766499.0
248,강원도,강릉시,1040783863.5000001
249,강원도,고성군,660707506.0
250,강원도,동해시,180201979.5
251,강원도,삼척시,1187839038.0000005
252,강원도,속초시,105760448.0
253,강원도,양구군,661819105.5999999
254,강원도,양양군,630079402.5
255,강원도,영월군,1127289701.3000002
256,강원도,원주시,868240237.8000001
257,강원도,인제군,1644967141.0
258,강원도,정선군,1219777975.3000002
259,강원도,철원군,889682310.5000001
260,강원도,춘천시,1116373900.3999999
261,강원도,태백시,303521188.1
262,강원도,평창군,1463928054.3000002
263,강원도,홍천군,1820310462.4999995
264,강원도,화천군,908931855.5
265,강원도,횡성군,998066555.9
