기준년월,광역지자체,중분류,,지출액,전년도 지출액
201906,전라남도,캠핑장/펜션,1003,2439.0,388.0
201906,전라남도,기타숙박,1004,78591.0,120764.0
201906,전라남도,여행업,2001,755.0,480.0
201906,전라남도,육상운송,3001,0.0,0.0
201906,전라남도,수상운송,3002,521.0,81.0
201906,전라남도,항공운송,3003,0.0,0.0
201906,전라남도,렌터카,3004,1351.0,1631.0
201906,전라남도,면세점,4001,0.0,0.0
201906,전라남도,관광기념품,4002,851.0,532.0
201906,전라남도,레저용품쇼핑,4003,14595.0,15858.0
201906,전라남도,대형쇼핑몰,4004,185569.0,125233.0
201906,전라남도,카지노,5001,0.0,0.0
201906,전라남도,관광유원시설,5002,14088.0,8382.0
201906,전라남도,골프장,5003,13264.0,12136.0
201906,전라남도,스키장,5004,0.0,0.0
201906,전라남도,기타레저,5005,0.0,6.0
201906,전라남도,문화서비스,5006,2137.0,1069.0
201906,전라남도,식음료,6001,238514.0,183826.0
201907,전라남도,관광총소비,0000,797131.0,762903.0
201907,전라남도,호텔,1001,134373.0,150846.0
201907,전라남도,콘도,1002,120.0,306.0
201907,전라남도,캠핑장/펜션,1003,1190.0,827.0
201907,전라남도,기타숙박,1004,81920.0,92084.0
201907,전라남도,여행업,2001,10.0,826.0
201907,전라남도,육상운송,3001,29.0,0.0
201907,전라남도,수상운송,3002,119.0,221.0
201907,전라남도,항공운송,3003,0.0,0.0
201907,전라남도,렌터카,3004,1253.0,1434.0
201907,전라남도,면세점,4001,0.0,0.0
201907,전라남도,관광기념품,4002,23833.0,1465.0
201907,전라남도,레저용품쇼핑,4003,28859.0,29298.0
201907,전라남도,대형쇼핑몰,4004,239979.0,228650.0
201907,전라남도,카지노,5001,0.0,0.0
201907,전라남도,관광유원시설,5002,15884.0,11147.0
201907,전라남도,골프장,5003,11017.0,13856.0
201907,전라남도,스키장,5004,0.0,0.0
201907,전라남도,기타레저,5005,12.0,21.0
201907,전라남도,문화서비스,5006,2441.0,1235.0
201907,전라남도,식음료,6001,256091.0,230688.0
201908,전라남도,관광총소비,0000,744945.0,592641.0
201908,전라남도,호텔,1001,139222.0,102670.0
201908,전라남도,콘도,1002,294.0,70.0
201908,전라남도,캠핑장/펜션,1003,683.0,1239.0
201908,전라남도,기타숙박,1004,137363.0,108930.0
201908,전라남도,여행업,2001,35.0,10.0
201908,전라남도,육상운송,3001,16.0,0.0
201908,전라남도,수상운송,3002,199.0,41.0
201908,전라남도,항공운송,3003,0.0,0.0
201908,전라남도,렌터카,3004,948.0,1670.0
201908,전라남도,면세점,4001,0.0,0.0
201908,전라남도,관광기념품,4002,6108.0,636.0
201908,전라남도,레저용품쇼핑,4003,17003.0,14145.0
201908,전라남도,대형쇼핑몰,4004,153781.0,125453.0
201908,전라남도,카지노,5001,0.0,0.0
201908,전라남도,관광유원시설,5002,14303.0,6908.0
201908,전라남도,골프장,5003,13387.0,8183.0
201908,전라남도,스키장,5004,0.0,0.0
201908,전라남도,기타레저,5005,0.0,0.0
201908,전라남도,문화서비스,5006,3177.0,981.0
201908,전라남도,식음료,6001,258424.0,221704.0
201909,전라남도,관광총소비,0000,610311.0,769340.0
201909,전라남도,호텔,1001,73610.0,180148.0
201909,전라남도,콘도,1002,4286.0,16343.0
201909,전라남도,캠핑장/펜션,1003,3074.0,1920.0
201909,전라남도,기타숙박,1004,106378.0,175741.0
201909,전라남도,여행업,2001,0.0,286.0
201909,전라남도,육상운송,3001,0.0,0.0
201909,전라남도,수상운송,3002,87.0,261.0
201909,전라남도,항공운송,3003,0.0,0.0
201909,전라남도,렌터카,3004,1966.0,1254.0
201909,전라남도,면세점,4001,0.0,0.0
201909,전라남도,관광기념품,4002,915.0,859.0
201909,전라남도,레저용품쇼핑,4003,13533.0,13043.0
201909,전라남도,대형쇼핑몰,4004,165378.0,129730.0
201909,전라남도,카지노,5001,0.0,0.0
201909,전라남도,관광유원시설,5002,6461.0,5045.0
201909,전라남도,골프장,5003,8659.0,13581.0
201909,전라남도,스키장,5004,0.0,0.0
201909,전라남도,기타레저,5005,0.0,6.0
201909,전라남도,문화서비스,5006,1500.0,1233.0
201909,전라남도,식음료,6001,224462.0,229890.0
201910,전라남도,관광총소비,0000,832977.0,755960.0
201910,전라남도,호텔,1001,177822.0,202804.0
201910,전라남도,콘도,1002,1660.0,90.0
