,유적지명,시도명,시군구명,경도,위도
1032,효교비,세종특별자치시,NaN,127.2478655,36.57667279
1033,무성리삼층석탑,전라북도,정읍시,126.9794152,35.60050751
1034,월촌입석,전라북도,김제시,126.8742504,35.78615988
1035,주륵사폐탑,경상북도,구미시,128.3826945,36.28603651
1036,문익점면작기념비,경상북도,의성군,128.6774311,36.27307047
1037,삼층석탑,경상북도,영주시,128.6868038,36.99829878
1038,한석산전적비,강원도,인제군,128.2243414,38.02391153
1039,수시탑,전라북도,군산시,126.7034614,35.98976887
1040,세류암,경상북도,봉화군,128.9479787,36.99592672
1041,오봉암,강원도,강릉시,128.822086,37.71246421
1042,천지암,경기도,수원시 팔달구,127.0219124,37.27657678
1043,양지암,서울특별시,서초구,127.0344967,37.4651525
1044,삼봉암,충청남도,아산시,126.8825184,36.77440199
1045,고왕암,충청남도,공주시,127.1946648,36.33961766
1046,백운암,충청북도,청주시 상당구,127.687799,36.60345402
1047,해인사사운당,경상남도,합천군,128.0971894,35.80102371
1048,송광사임경당,전라남도,순천시,127.275222,35.00224288
1049,통도사한송정,경상남도,양산시,129.0660498,35.48804171
1050,원통전,경상남도,양산시,129.0642524,35.48773136
1051,경덕염불원,부산광역시,해운대구,129.1609939,35.16824656
1052,성불암,서울특별시,양천구,126.8579077,37.52546366
1053,아영암,전라북도,고창군,126.5717014,35.48614892
1054,장수암,경상북도,예천군,128.3077267,36.5574911
1055,내암,충청북도,청주시 상당구,127.5846936,36.54999047
1056,다슬기암,충청남도,보령시,126.4779116,36.281451
1057,상송암,강원도,춘천시,127.6979322,38.00462289
1058,구암,경상북도,영천시,128.9320366,35.93070179
1059,성불암,울산광역시,북구,129.3598087,35.65163066
1060,양덕사,울산광역시,울주군,129.1338517,35.56831793
1061,계조암,강원도,속초시,128.483982,38.17834374
1062,금정암,경상북도,안동시,128.919523,36.38351337
1063,주사암,경상북도,경주시,129.050076,35.85329403
1064,무량암,대구광역시,북구,128.5665603,35.89064156
1065,금오암,서울특별시,동대문구,127.0649988,37.60139169
1066,송광사풍암영각,전라남도,순천시,127.2765467,35.00172737
1067,통도사설선당,경상남도,양산시,129.0657694,35.48673132
1068,용천암,전라남도,구례군,127.5294443,35.12197842
1069,우정암,서울특별시,관악구,126.9551442,37.47976791
1070,수도암,부산광역시,사상구,128.9817416,35.14051568
1071,무림정사음선암,경상남도,진주시,128.0851108,35.17477511
1072,봉정사만세루,경상북도,안동시,128.6626735,36.65318559
1073,장암,충청북도,보은군,127.7638003,36.42945836
1074,대왕암,경상북도,경주시,129.4868652,35.73813371
1075,삼합암,전라남도,순천시,127.3016262,34.97391832
1076,보리암,전라북도,완주군,127.1903714,35.91706588
1077,무위암,부산광역시,금정구,129.0674555,35.23513122
1078,연수암,서울특별시,도봉구,127.0436582,37.6889098
1079,영봉암,충청남도,홍성군,126.6172164,36.53136893
1080,법주사염화실,충청북도,보은군,127.8343348,36.54286149
1081,송광사설법전,전라남도,순천시,127.2764781,35.00226441
1082,통도사극락보전,경상남도,양산시,129.0651198,35.48783848
1083,보리암,부산광역시,해운대구,129.1541656,35.23080478
1084,정수암,경기도,성남시 수정구,127.1452254,37.44228032
1085,현암,충청남도,부여군,126.8070992,36.27073734
1086,삼선암,전라남도,진도군,126.3148365,34.48070736
1087,학암,전라북도,임실군,127.2036523,35.59837236
1088,자재암,세종특별자치시,NaN,127.3982271,36.50111087
1089,우왕암,경상북도,울진군,129.4507807,36.82092994
1090,약수암,부산광역시,기장군,129.1903844,35.3138404
1091,연지암,경상북도,경주시,129.3277555,35.7536577
1092,영천암,경상남도,밀양시,128.7698804,35.50657147
1093,성불암,부산광역시,동구,129.0453516,35.13034427
1094,약사암,서울특별시,노원구,127.0771626,37.67347337
1095,원통암,충청북도,단양군,128.347552,36.85629724
1096,월봉암,충청남도,청양군,126.8145767,36.44705544
1097,백룡암,충청남도,청양군,126.9554336,36.45728156
1098,해인사보경당,경상남도,합천군,128.0977653,35.80070979
1099,해인사장경각,경상남도,합천군,128.0985717,35.80161532
1100,송광사침계루,전라남도,순천시,127.2753779,35.00184758
1101,마곡사국사당,충청남도,공주시,127.0114559,36.55839501
1102,동불암,대구광역시,수성구,128.6155253,35.82063182
1103,신성암,전라북도,임실군,127.1758027,35.68961142
1104,극락암,부산광역시,영도구,129.0496885,35.08692
1105,백연암,경기도,안성시,127.3962493,37.02623796
1106,백암,충청남도,아산시,127.0370871,36.80226271
1107,견우직녀암,강원도,영월군,128.2570406,37.28528356
1108,아랫정암,강원도,횡성군,128.0207313,37.45626039
1109,금암,충청북도,진천군,127.3753638,36.8240179
1110,모선암,경상북도,의성군,128.5650612,36.29540897
1111,오봉암,충청남도,아산시,127.0258498,36.74670899
1112,선정암,전라남도,화순군,126.9821852,35.08633236
1113,원덕암,강원도,원주시,127.9571034,37.33959181
1114,수도암,부산광역시,서구,129.0048638,35.11538712
1115,적선암,서울특별시,성북구,127.0284322,37.60031421
1116,불선암,울산광역시,북구,129.3321443,35.61864758
1117,약수암,충청남도,청양군,126.9686118,36.37620326
1118,천불암,부산광역시,동래구,129.0934223,35.20859881
1119,법성암,서울특별시,도봉구,127.017402,37.65337652
1120,해인사우화당,경상남도,합천군,128.0969826,35.80074298
1121,덕영암,인천광역시,중구,126.6372077,37.46778196
1122,청원암,서울특별시,광진구,127.0692494,37.54259894
1123,도암,경상북도,영천시,129.0111762,36.00570604
1124,탈골암,충청북도,보은군,127.8473067,36.54832992
1125,부소암,경상남도,남해군,127.9765669,34.75255328
1126,담암,경상북도,예천군,128.4235885,36.61193733
1127,보덕암,경상북도,경주시,129.4338994,35.71800413
1128,운수암,경상북도,김천시,127.9895214,36.12463653
1129,백련암,전라북도,임실군,127.1377469,35.57671703
1130,약수암,전라북도,정읍시,126.902006,35.54580724
1131,완도예작도감탕나무,전라남도,완도군,126.5700375,34.13349968
1132,고인돌공원,전라남도,순천시,127.2245669,34.97921209
1133,중산리이팝나무,전라북도,고창군,126.5963251,35.36007198
1134,처진소나무,경상북도,울진군,129.3751128,36.97383629
1135,예산백송,충청남도,예산군,126.7969741,36.75157742
1136,제주한림용암동굴지대,제주특별자치도,제주시,126.2587462,33.3692414
1137,긴잎느티나무,강원도,삼척시,129.0496378,37.231622
1138,은입사동제향로,경상남도,양산시,129.065563,35.48892101
1139,이서면은행나무,전라남도,화순군,127.0780725,35.11067111
1140,삼인리의사송,전라북도,고창군,126.5629885,35.48284544
1141,금남리황목근,경상북도,예천군,128.2712798,36.60369166
1142,사인암,충청북도,단양군,128.3407849,36.89464058
1143,운흥정,전라남도,구례군,127.4323455,35.30681037
1144,효자송,전라남도,장흥군,126.9338757,34.55306532
1145,반룡송,경기도,이천시,127.4753458,37.34058352
1146,아들바위,강원도,강릉시,128.8301018,37.90586529
1147,삼인리동백나무숲,전라북도,고창군,126.5718332,35.4974252
1148,명월대,제주특별자치도,제주시,126.2663994,33.388753
1149,크낙새서식지,경기도,남양주시,127.1575831,37.74138112
1150,중댕이굴,제주특별자치도,제주시,126.5073086,33.49889842
1151,고소동굴,강원도,삼척시,129.0948282,37.39249395
1152,송리원굴,경상북도,영주시,128.6841779,36.71660441
1153,방축굴,제주특별자치도,제주시,126.8292202,33.52716741
1154,천장굴,경상북도,울릉군,131.8694114,37.23988139
1155,묵굴,제주특별자치도,서귀포시,126.4984884,33.2393962
1156,정갑산굴,전라남도,곡성군,127.2381787,35.2367897
1157,일출랜드미천굴,제주특별자치도,서귀포시,126.842617,33.3833674
1158,큰굴,제주특별자치도,서귀포시,126.1828837,33.2801946
1159,알막은굴,제주특별자치도,제주시,126.5767248,33.48197163
1160,선덕굴,제주특별자치도,서귀포시,126.7619169,33.29503273
1161,가락굴,충청남도,태안군,126.1451052,36.78120837
1162,동산굴,경상남도,창녕군,128.3770491,35.57140172
1163,풍모굴,제주특별자치도,제주시,126.3803974,33.43615344
1164,석우공동굴,강원도,강릉시,128.83764,37.51554856
1165,황토굴,경상북도,울릉군,130.7947849,37.5142415
1166,장암굴,강원도,평창군,128.423826,37.39796438
1167,전월산,전라남도,화순군,126.966951,34.9706835
1168,한밭,경기도,여주시,127.5983209,37.22678601
1169,1100고지습지,제주특별자치도,서귀포시,126.4630644,33.35753039
1170,터일,강원도,춘천시,127.5998727,37.82678034
1171,명석마을,전라북도,완주군,127.1893163,35.94745737
