,사업장명,시도명,시군구명,경도,위도
645,이풀실내정원,경기도,안산시,126.88850974879718,37.30789632099573
646,포천 역사문화관,경기도,포천시,127.19766525772108,37.88802570116914
647,몽양기념관,경기도,양평군,127.37297771890337,37.52773305777356
648,명성황후 기념관,경기도,여주시,127.65365098337392,37.25724189645733
649,제암리 3.1운동 순국기념관,경기도,화성시,126.89103736264755,37.123426502451835
650,양주시립 회암사지박물관,경기도,양주시,127.10196330095455,37.83842336186199
651,한얼고문서유물관,경기도,여주시,127.60823595229367,37.39557976139431
652,덕포진교육박물관,경기도,김포시,126.53805594722714,37.64796161944405
653,일본군위안부역사관,경기도,광주시,127.32089157783109,37.44022948581785
654,여성생활사박물관,경기도,여주시,127.70744413943062,37.24031733064354
655,부천로보파크전시관,경기도,부천시,126.76336689575703,37.51408819642762
656,창조자연사박물관,경기도,시흥시,126.78571619464431,37.43095760367836
657,용인시박물관,경기도,용인시,127.15315920619096,37.27095110263874
658,용인문화유적전시관,경기도,용인시,127.15315920619096,37.27095110263874
659,용인문화유적전시관,경기도,용인시,127.15315920619096,37.27095110263874
660,용인문화유적전시관,경기도,용인시,127.15315920619096,37.27095110263874
661,용인문화유적전시관,경기도,용인시,127.15315920619096,37.27095110263874
662,황순원문학관,경기도,양평군,127.37688693583735,37.59116265256342
663,이영미술관,경기도,용인시,127.08881687389929,37.274800606648284
664,사람박물관 얼굴,경기도,광주시,127.30132396977879,37.491222942578275
665,C Art Museum,경기도,양평군,127.728364,37.3920059
666,경기생활도자미술관,경기도,여주시,127.65624775572846,37.29803861600033
667,서호미술관,경기도,남양주시,127.35054066995615,37.630008161588066
668,이천시립 월전미술관,경기도,이천시,127.42331383161816,37.277424434318895
669,호암미술관,경기도,용인시,127.19079473505974,37.29077527540707
670,국제대학교 해강도자기미술관,경기도,이천시,127.400158,37.3129002
671,백남준 아트센터,경기도,용인시,127.10894382990998,37.26531997289122
672,어우재미술관,경기도,여주군,127.67489714533542,37.143919714545135
673,독도박물관,경상북도,울릉군,130.89742666805805,37.48365087758402
674,포스코역사박물관,경상북도,포항시,129.38625852141902,35.99452623989426
675,직지성보박물관,경상북도,김천시,128.00334517097926,36.11353234877918
676,불루메미술관,경기도,파주시,126.69582629722404,37.786571954298296
677,해움미술관,경기도,수원시,127.0141961572645,37.26951129777612
678,안동소주박물관,경상북도,안동시,128.7079341859511,36.546915861827216
679,동국대학교경주캠퍼스박물관,경상북도,경주시,129.19310088620304,35.86142008228163
680,엄미술관,경기도,화성시,126.9784584295565,37.20280805463621
681,현대어린이책미술관 MOKA,경기도,성남시,127.111235379089,37.39002414422624
682,미누현대미술관,경기도,성남시,127.14873536968095,37.44225095762779
683,김홍도미술관,경기도,안산시,126.85015583572113,37.31375087589971
684,신구대학교식물원 갤러리 우촌,경기도,성남시,127.080915,37.4335432
685,포마자동차디자인미술관,경기도,고양시,126.89565402684993,37.589033612701186
686,구하우스,경기도,양평군,127.35038963508738,37.60041175417469
687,성남아트센터 큐브미술관,경기도,성남시,127.13074095324858,37.39987138002257
688,맥아트미술관,경기도,안산시,126.60118879014665,37.217866005348895
689,유리섬미술관,경기도,안산시,126.60118879014665,37.217866005348895
690,KUMA 계원예술대학교 미술관,경기도,의왕시,126.97751263844421,37.37587600449657
691,안상철미술관,경기도,양주시,126.95620342181437,37.775639920995395
692,미메시스 아트 뮤지엄,경기도,파주시,126.68802389233319,37.714134139041505
693,DIMA아트센터,경기도,안성시,127.35798144665692,37.055878037451365
694,화이트블럭,경기도,파주시,126.69857846238091,37.786133180378016
