,체험지명,시도명,시군구명,경도,위도
109,CSY갤러리,서울,종로구,126.9710072,37.58198181
110,청운동화실,서울,종로구,126.9680004,37.58154405
111,세라믹스튜디오 시선,서울,종로구,126.9670915,37.58106988
112,갤러리291,서울,종로구,126.966032,37.58079928
113,지은그릇,서울,종로구,126.966093,37.58099391
114,크래프튼레더,서울,종로구,126.9710264,37.58185658
115,아가화,서울,종로구,126.9709313,37.58210162
116,송파에사는희,서울,종로구,126.9681922,37.58046471
117,포코그란데,서울,종로구,126.9678707,37.58045021
118,쿠잉핸즈,서울,종로구,126.9668516,37.58081393
119,스튜디오무케,서울,종로구,126.9683189,37.58068098
120,드디어,서울,종로구,126.9677574,37.58063758
121,서촌공방,서울,종로구,126.9684084,37.58045125
122,갤러리아트가,서울,종로구,126.9716379,37.58164769
123,hhhh. note(포에이치노트),서울,종로구,126.9685865,37.57971159
124,아우르갤러리,서울,종로구,126.9708321,37.58100599
125,영콤마영,서울,종로구,126.9679844,37.57930057
126,갤러리그리다,서울,종로구,126.9720777,37.5802927
127,서촌창작소,서울,종로구,126.9697594,37.57958215
128,요즘,서울,종로구,126.972856,37.58187143
129,아트드보라,서울,종로구,126.9728831,37.58185341
130,크레이티브굿즈,서울,종로구,126.965643,37.57980447
131,라니엘 아뜰리에 서울본점,서울,종로구,126.9733641,37.57924785
132,언글래마우스,서울,종로구,126.9721617,37.57953589
133,오키프,서울,종로구,126.9709591,37.58037172
134,아트파크,서울,종로구,126.9804136,37.5837542
135,헬렌앤제이갤러리 서울,서울,종로구,126.9810331,37.58288304
136,스튜디오디바인 삼청,서울,종로구,126.9802166,37.58376407
137,아유루유,서울,종로구,126.9715163,37.57985829
138,애tv그림책학교,서울,종로구,126.9710976,37.57939147
139,호전갤러리,서울,종로구,126.9704363,37.57980126
140,가정식패브릭,서울,종로구,126.9697722,37.57871269
141,VAAG,서울,종로구,126.9718878,37.57937004
142,스튜디오 흐린,서울,종로구,126.9718705,37.57722567
143,도예공방도도,서울,종로구,126.9693795,37.57836661
144,베르씨빌라쥬,서울,종로구,126.9704054,37.57765238
145,미튼스튜디오,서울,종로구,126.9703669,37.57766138
146,스페이스통,서울,종로구,126.9728297,37.57930899
147,미스맥,서울,종로구,126.9732827,37.57897753
148,MJ아트세라믹,서울,종로구,126.9734593,37.57888026
149,카리미즈안 서울,서울,종로구,126.9694565,37.57839997
150,김이솝갤러리,서울,종로구,126.969782,37.5795362
151,CDY,서울,종로구,126.9702962,37.57901196
152,스타일리스트제비,서울,종로구,126.9684832,37.57762486
153,디자인비,서울,종로구,126.9712588,37.57818058
154,페파민트,서울,종로구,126.9738044,37.57635756
155,고궁뜨락 상품관,서울,종로구,126.9748367,37.57657402
156,홈워크,서울,종로구,126.9709276,37.57681909
157,신일액자,서울,종로구,126.9713365,37.57633536
158,스튜디오랩딥,서울,종로구,126.9705839,37.57874263
159,월드아트,서울,종로구,126.9702497,37.57653331
160,보현갤러리,서울,종로구,126.9703326,37.57583506
161,라로즈,서울,종로구,126.9693432,37.57843237
162,카이카,서울,종로구,126.9689907,37.57681049
163,히어리,서울,종로구,126.9687453,37.57879261
164,스페이스시옷,서울,종로구,126.9689703,37.57681499
165,갤러리정,서울,종로구,126.9714193,37.57287556
166,종로가죽공방,서울,종로구,126.9712785,37.57398916
167,스페이스중학,서울,종로구,126.9788196,37.57543775
168,뮤즈톡톡,서울,종로구,126.9732847,37.57332649
169,갤러리마리,서울,종로구,126.9690377,37.57271638
170,케스토스,서울,종로구,126.9724334,37.57355335
171,(재)성곡미술문화재단,서울,종로구,126.9697937,37.57317789
172,골든핸즈프렌즈,서울,종로구,126.9729458,37.571319
173,디언타이틀드보이드,서울,종로구,126.9680992,37.57294499
174,에무갤러리,서울,종로구,126.9690742,37.57208209
175,갤러리41,서울,종로구,126.9805057,37.57782207
176,세종아트,서울,종로구,126.968025,37.57699674
177,딸기소보루,서울,종로구,126.9676448,37.57909505
