,상호명,시도명,시군구명,경도,위도
95,홍천해당화펜션,강원도,홍천군,128.034599211182,37.7306928033015
96,대성장,강원도,춘천시,127.724527494701,37.8840932807566
97,사북장여관,강원도,정선군,128.82175807161,37.2272815767955
98,노루목모텔,강원도,속초시,128.517447638461,38.1681562581383
99,남설악모텔,강원도,양양군,128.448283440761,38.0796214206282
100,산들강펜션,강원도,철원군,127.280208256228,38.1946329841175
101,로얄장,강원도,인제군,128.204833804763,38.1213741866689
102,한림장여관,강원도,양구군,127.988297527932,38.1071362478012
103,별빛내펜션,강원도,삼척시,129.235954059851,37.3303696506557
104,아름드리펜션,강원도,동해시,129.157132424065,37.4770115685711
105,스타장여관,강원도,원주시,127.932297802721,37.3466640201891
106,정한수펜션,강원도,속초시,128.551604644171,38.1893358683078
107,청간민박,강원도,고성군,128.556205042649,38.2688154395589
108,계곡물소리펜션,강원도,삼척시,129.146819755804,37.1523939087172
109,알프스민박,강원도,정선군,128.715041914683,37.5139798949334
110,산사랑민박,강원도,원주시,128.057203777357,37.4268589947371
111,캠프에이프릴,강원도,영월군,128.394923961549,37.203611619196
112,샛별모텔,강원도,원주시,127.939955578846,37.3684570082528
113,황토뜨락민박,강원도,강릉시,129.042937806481,37.641550623288
114,동강소리,강원도,영월군,128.51262691694,37.2320237289002
115,AD467펜션,강원도,춘천시,127.534918759825,37.8362381272774
116,오르비스펜션,강원도,홍천군,127.637738015678,37.647307291274
117,별언덕펜션,강원도,강릉시,128.695090260098,37.8483953256628
118,에코하우스펜션,강원도,삼척시,129.312949456194,37.2846676965446
119,황토민박,강원도,원주시,128.01654302264,37.2921556723305
120,해질녘강물소리,강원도,영월군,128.185622319709,37.3191529441572
121,스트라우스모텔,강원도,강릉시,128.913841991763,37.799300599582
122,엘림리조트,강원도,홍천군,128.381145690485,37.8396121779519
123,홍천강의하루,강원도,홍천군,127.678967324314,37.6914434232446
124,HOTELCUBE,강원도,강릉시,128.913178426007,37.7998193228566
125,마운틴밸리펜션,강원도,인제군,128.347427433249,38.1973072967589
126,제주민박,강원도,철원군,127.433264779742,38.2377719501942
127,황토방민박,강원도,평창군,128.53354040441,37.6977106704786
128,마운틴밸리리조트,강원도,고성군,128.489672708916,38.306537796768
129,양씨네,강원도,양양군,128.629460343107,38.1177853072565
130,무지개펜션,강원도,삼척시,129.312324381553,37.2817912414314
131,황토펜션해오름,강원도,영월군,128.508529339638,37.207530869179
